id,date,primary_type,description,latitude,longitude
9deb07a7e1,2023-07-01 10:29:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.61454604926206,-87.75540810333356
82863893ca,2017-03-04 20:49:00,THEFT,OVER $500,41.81057357431059,-87.59881831031657
0faa6ae6d1,2017-03-09 15:33:00,BURGLARY,UNLAWFUL ENTRY,41.923922670773464,-87.60568489263127
a4bda7a712,2019-01-18 11:10:00,BURGLARY,UNLAWFUL ENTRY,41.84197056299372,-87.73848801510186
fc4af18af5,2020-04-05 18:56:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.60532537685968,-87.84570853142044
c5d9daebf7,2018-07-11 12:59:00,BURGLARY,FORCIBLE ENTRY,41.81097838981919,-87.51152933145401
eba44bb500,2020-05-04 02:00:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.620118829244994,-87.5246572459906
0c08be798b,2021-05-18 17:43:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.9623368218698,-87.91321436726543
b2cd1f2e6c,2019-02-26 21:12:00,CRIMINAL DAMAGE,TO PROPERTY,41.8725340234975,-87.88424827855837
db06dc1e22,2021-08-14 17:55:00,ASSAULT,SIMPLE,41.69280328097018,-87.5266544600785
b3954f40d4,2018-04-04 22:42:00,BATTERY,SIMPLE,41.678903596371825,-87.74882961243138
990c8b8388,2023-06-06 15:03:00,ASSAULT,AGGRAVATED,41.99824010733021,-87.55638367023396
3af08a09e8,2019-05-25 16:14:00,BURGLARY,FORCIBLE ENTRY,41.8041651237952,-87.66796304379969
8f67a85f4e,2021-02-26 04:43:00,CRIMINAL DAMAGE,TO PROPERTY,41.76246517303996,-87.78247443124678
f40181e034,2019-04-27 18:51:00,NARCOTICS,POSS: HEROIN(WHITE),41.68870304086893,-87.89800079857312
96e33ec60f,2023-12-09 11:47:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.94731054535903,-87.90979611115702
901cb854cd,2018-03-14 12:02:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.77915662848438,-87.72744575338645
c85bcb9e64,2016-07-15 11:47:00,BURGLARY,FORCIBLE ENTRY,41.933132816048136,-87.88287369249112
55fe49901f,2017-12-23 04:38:00,BURGLARY,FORCIBLE ENTRY,42.00375685126333,-87.50589727971187
1aa085f3e3,2019-09-03 08:55:00,NARCOTICS,POSS: HEROIN(WHITE),42.04775183292084,-87.56969121791616
adf868e580,2019-03-21 07:21:00,ASSAULT,AGGRAVATED,41.83898721328296,-87.94315694237038
18c94820b6,2022-01-07 13:25:00,CRIMINAL DAMAGE,TO VEHICLE,41.81492545797839,-87.74039236295835
aa3b402ea3,2017-02-21 08:11:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,41.81076485465898,-87.80168355363665
a72c816f1a,2023-08-16 14:43:00,BATTERY,SIMPLE,41.67940921602621,-87.57944830743034
8987b9667a,2023-06-16 19:11:00,NARCOTICS,POSS: HEROIN(WHITE),41.9600876532682,-87.82813679186917
b46d5370a3,2021-09-12 07:33:00,BATTERY,DOMESTIC BATTERY SIMPLE,41.9846247850019,-87.84443139151165
9508ea9102,2019-11-12 05:56:00,ASSAULT,AGGRAVATED,41.87325832670704,-87.77736549239367
